Year,Partner,Commodity Code,Commodity,Netweight (kg),Trade Value (US$),Price per Ton(US$)
2017,Afghanistan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",325758,786434,2414.16634
2017,Albania,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",700216,1569282,2241.13988
2017,Algeria,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",8103784,15326342,1891.25747
2017,Andorra,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",693,1220,1760.46176
2017,Angola,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1791299,2957694,1651.14478
2017,Antigua and Barbuda,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2313,1270,549.07047
2017,Azerbaijan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",229313,348739,1520.79908
2017,Argentina,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2508191,4490621,1790.38239
2017,Australia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",45193698,85443742,1890.61187
2017,Austria,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",5331104,13217170,2479.25570
2017,Bahamas,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1123,3748,3337.48887
2017,Bahrain,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",807409,1054333,1305.82270
2017,Bangladesh,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",5317996,10880504,2045.97822
2017,Armenia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",198211,237442,1197.92544
2017,Barbados,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2854,11513,4033.98739
2017,Belgium,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",17689584,22148830,1252.08315
2017,Bermuda,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1,20,20000.00000
2017,Bhutan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",83,233,2807.22892
2017,Bolivia (Plurinational State of),731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1733979,1943958,1121.09662
2017,Bosnia Herzegovina,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",66647,70600,1059.31250
2017,Botswana,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",35235,125189,3552.97290
2017,Brazil,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",16537039,29560523,1787.53421
2017,Belize,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",27143,51022,1879.74800
2017,Solomon Isds,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",80726,225203,2789.72078
2017,Br. Virgin Isds,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",156,368,2358.97436
2017,Brunei Darussalam,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1165992,1828932,1568.56308
2017,Bulgaria,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2607152,3453645,1324.68111
2017,Myanmar,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",12558486,15362841,1223.30359
2017,Burundi,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",784,2285,2914.54082
2017,Belarus,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",578908,1422878,2457.86550
2017,Cambodia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1446476,2857036,1975.17000
2017,Cameroon,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",719740,1671937,2322.97357
2017,Canada,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",28575212,38658958,1352.88438
2017,Cabo Verde,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",18941,75745,3998.99689
2017,Cayman Isds,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",195,483,2476.92308
2017,Central African Rep.,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",27344,24627,900.63634
2017,Sri Lanka,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",3590079,5963332,1661.05871
2017,Chad,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",91761,177779,1937.41350
2017,Chile,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",12312606,17144074,1392.40011
2017,Colombia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",11155338,13436160,1204.46014
2017,Comoros,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",20586,59027,2867.33703
2017,Congo,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",170059,463503,2725.54231
2017,Dem. Rep. of the Congo,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",619601,3527380,5692.98629
2017,Cook Isds,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2439,4388,1799.09799
2017,Costa Rica,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1730775,2202568,1272.59060
2017,Croatia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",3608805,3810926,1056.00774
2017,Cuba,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",523293,1698790,3246.34574
2017,Cyprus,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",374981,500830,1335.61434
2017,Czechia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",4115873,6386232,1551.61056
2017,Benin,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",353719,470991,1331.54001
